r,model,subject,channel
0.02423334360260086,model1e,OP0004,FC5
0.03974426775426637,model2e,OP0004,FC5
0.029972705727495903,model1e,OP0004,FC1
0.043229072652022874,model2e,OP0004,FC1
0.06310967659040692,model1e,OP0004,C3
0.09824656534739858,model2e,OP0004,C3
0.012562476249187868,model1e,OP0004,T7
0.01978773869448942,model2e,OP0004,T7
-0.005151928783892149,model1e,OP0004,TP9
-0.009740608736248595,model2e,OP0004,TP9
0.013845852703215476,model1e,OP0004,CP5
0.017081766258989516,model2e,OP0004,CP5
0.02981950111622039,model1e,OP0004,CP1
0.04078665325345356,model2e,OP0004,CP1
0.031657634184520694,model1e,OP0004,Pz
0.047308875579773785,model2e,OP0004,Pz
0.035338713435760304,model1e,OP0004,P3
0.031562213392950955,model2e,OP0004,P3
0.01891704186012507,model1e,OP0004,P7
0.01260186397299404,model2e,OP0004,P7
0.03473195218469083,model1e,OP0004,O1
0.026334474642159073,model2e,OP0004,O1
0.03721904927978377,model1e,OP0004,Oz
0.03013457962055106,model2e,OP0004,Oz
0.03927939427507808,model1e,OP0004,O2
0.03211801882451996,model2e,OP0004,O2
0.033115689318598346,model1e,OP0004,P4
0.04420997704848258,model2e,OP0004,P4
0.030022011539193035,model1e,OP0004,P8
0.024121873413429442,model2e,OP0004,P8
-0.005237889562072355,model1e,OP0004,TP10
-0.009799271150688934,model2e,OP0004,TP10
0.02972422759486978,model1e,OP0004,CP6
0.034490260344527957,model2e,OP0004,CP6
0.03901250515403508,model1e,OP0004,CP2
0.06406237157043271,model2e,OP0004,CP2
0.02591609068899129,model1e,OP0004,Cz
0.03869598042613175,model2e,OP0004,Cz
0.04039542741103734,model1e,OP0004,C4
0.0554991512500382,model2e,OP0004,C4
0.08846795762017247,model1e,OP0004,T8
0.10299626654933067,model2e,OP0004,T8
0.07148559358158724,model1e,OP0004,FT10
0.078403488936579,model2e,OP0004,FT10
0.03367643074404008,model1e,OP0004,FC6
0.03215974324372534,model2e,OP0004,FC6
0.024694800500094705,model1e,OP0004,FC2
0.03216316831481088,model2e,OP0004,FC2
0.026026877192915496,model1e,OP0004,F4
0.03138376861147868,model2e,OP0004,F4
0.04071214925643045,model1e,OP0004,F8
0.04784001424342525,model2e,OP0004,F8
0.023740624526728336,model1e,OP0004,Fp2
0.02960168778154871,model2e,OP0004,Fp2
0.019839416952691275,model1e,OP0004,AF7
0.03437031494926381,model2e,OP0004,AF7
0.02636162550479766,model1e,OP0004,AF3
0.04638051640374519,model2e,OP0004,AF3
0.023431692601281556,model1e,OP0004,AFz
0.03874545809199455,model2e,OP0004,AFz
0.021006460776007835,model1e,OP0004,F1
0.03600267504433878,model2e,OP0004,F1
0.019572445600668825,model1e,OP0004,F5
0.039466978129695164,model2e,OP0004,F5
0.026406137418105925,model1e,OP0004,FT7
0.030231407533417937,model2e,OP0004,FT7
0.03266387454442526,model1e,OP0004,FC3
0.0524078274627386,model2e,OP0004,FC3
0.024330441942226683,model1e,OP0004,FCz
0.03177207323522506,model2e,OP0004,FCz
0.03686035927544582,model1e,OP0004,C1
0.05066240954964624,model2e,OP0004,C1
0.014053346559334233,model1e,OP0004,C5
0.025506300756492295,model2e,OP0004,C5
-0.004241921479220979,model1e,OP0004,TP7
0.003293602422670951,model2e,OP0004,TP7
