Subject,Cond,N100_amp,P200_amp,N100_latency,P200_latency,peak_to_peak
OP0001,Perc,-8.840657446255089e-06,3.5387983798466717e-06,0.1171875,0.203125,1.2379455826101761e-05
OP0001,Perc,-3.0780200398363137e-06,2.929528421524386e-06,0.1484375,0.2265625,6.0075484613607e-06
OP0001,Perc,-6.195598124869406e-06,-3.7625575739030535e-06,0.1484375,0.21875,2.433040550966352e-06
OP0001,Perc,1.90614160977961e-06,6.8771389921642555e-06,0.1484375,0.1875,4.970997382384646e-06
OP0001,Perc,-2.7445435253594003e-06,1.1928020423864843e-05,0.0859375,0.21875,1.4672563949224243e-05
OP0001,Perc,-6.019386720152057e-06,7.174616806538593e-07,0.1328125,0.1640625,6.736848400805917e-06
OP0001,Perc,2.5301767658223125e-06,1.526396071028556e-05,0.1015625,0.15625,1.2733783944463246e-05
OP0001,Perc,2.2300718342106356e-06,5.102641696012472e-06,0.1015625,0.1875,2.8725698618018366e-06
OP0001,Perc,-1.2775449176491758e-06,3.373335622701551e-06,0.0859375,0.203125,4.650880540350727e-06
OP0001,Perc,-3.2459666334395435e-06,9.648978295784082e-07,0.140625,0.15625,4.210864463017952e-06
OP0001,Perc,-3.398198430898954e-07,9.827359668276032e-06,0.1484375,0.234375,1.0167179511365927e-05
OP0001,Perc,-7.531066645380505e-06,7.544593044727406e-06,0.1328125,0.1796875,1.507565969010791e-05
OP0001,Perc,-1.3420152389666661e-05,7.241828268629349e-06,0.109375,0.234375,2.066198065829601e-05
OP0001,Perc,-5.902331710891544e-06,4.4856575035974985e-06,0.140625,0.1796875,1.0387989214489043e-05
OP0001,Perc,-1.0520218188987515e-05,1.283475970777119e-05,0.1328125,0.171875,2.3354977896758707e-05
OP0001,Perc,-7.414758227082545e-06,2.0639934145581194e-05,0.125,0.2421875,2.805469237266374e-05
OP0001,Perc,-1.0626160284881789e-05,4.882754028711544e-06,0.1171875,0.1953125,1.5508914313593333e-05
OP0001,Perc,-4.375611287427359e-06,1.8311627917289944e-06,0.109375,0.21875,6.206774079156353e-06
OP0001,Perc,2.061933476446009e-06,2.996238164562258e-06,0.1484375,0.1875,9.343046881162491e-07
OP0001,Perc,-6.066579544933756e-06,3.732211268223796e-06,0.109375,0.1640625,9.798790813157553e-06
OP0001,Perc,-7.1639972004115085e-06,1.1409932858559173e-05,0.1484375,0.2109375,1.857393005897068e-05
OP0001,Perc,-2.026106318731287e-06,1.4758097297876051e-05,0.1484375,0.1875,1.678420361660734e-05
OP0001,Perc,-4.411033358330954e-06,2.4260061621259977e-06,0.1328125,0.2421875,6.837039520456952e-06
OP0001,Perc,-9.410705113452854e-07,1.0757798338986465e-05,0.0859375,0.1796875,1.169886885033175e-05
OP0001,Perc,-1.1988112518429904e-06,7.330710817361991e-06,0.1015625,0.15625,8.529522069204981e-06
OP0001,Perc,-5.260147077228657e-06,9.33751540407612e-06,0.1015625,0.2265625,1.4597662481304777e-05
OP0001,Perc,-2.453574529878265e-06,5.375668216648653e-06,0.1171875,0.2265625,7.829242746526917e-06
OP0001,Perc,-1.2076017749796034e-05,6.389014602854428e-06,0.1171875,0.15625,1.8465032352650463e-05
OP0001,Perc,3.97064056759615e-06,7.982798807650474e-06,0.1015625,0.15625,4.012158240054324e-06
OP0001,Perc,-6.988112682569721e-06,5.618201315428986e-06,0.09375,0.2265625,1.2606313997998708e-05
OP0001,Perc,-1.16603492779424e-05,1.1824292441792081e-06,0.1015625,0.2109375,1.2842778522121607e-05
OP0001,Perc,-9.493327153812111e-06,9.495175052072777e-06,0.125,0.21875,1.898850220588489e-05
OP0001,Perc,-1.2823026822935382e-05,1.710008732269066e-05,0.125,0.171875,2.992311414562604e-05
OP0001,Perc,-1.3645933403357262e-06,1.359935942741974e-05,0.140625,0.21875,1.4963952767755468e-05
OP0001,Perc,-4.545416567098548e-06,2.3111884239009056e-05,0.1015625,0.234375,2.7657300806107605e-05
OP0001,Perc,-1.4829445731528657e-05,1.3134959176048642e-05,0.125,0.171875,2.79644049075773e-05
OP0001,Perc,-1.049612128716174e-06,3.875006542968642e-06,0.0859375,0.1953125,4.924618671684816e-06
OP0001,Perc,-4.09149544722809e-06,9.780148906401332e-06,0.1484375,0.203125,1.3871644353629421e-05
OP0001,Perc,1.7988117969575744e-06,1.8673672675720128e-05,0.0859375,0.1953125,1.6874860878762555e-05
OP0001,Perc,1.7288771102624803e-07,4.216078111592567e-06,0.1484375,0.1796875,4.043190400566319e-06
OP0001,Perc,-7.5087228343907204e-06,1.4136695154758111e-05,0.1171875,0.15625,2.164541798914883e-05
OP0001,Perc,-7.2865010643280305e-06,6.934165882875832e-06,0.1328125,0.1796875,1.4220666947203863e-05
OP0001,Perc,-1.4556927439252545e-06,4.696202185775592e-06,0.1484375,0.203125,6.151894929700847e-06
OP0001,Perc,-3.10449769907766e-06,7.311263477124295e-06,0.1015625,0.21875,1.0415761176201955e-05
OP0001,Perc,-4.475062745622859e-06,3.837521546286899e-06,0.1015625,0.21875,8.312584291909758e-06
OP0001,Perc,-4.377522185432704e-06,2.9796548264129826e-06,0.09375,0.203125,7.357177011845686e-06
OP0001,Perc,-5.6339934429376e-06,1.0330478033976735e-05,0.09375,0.2265625,1.5964471476914335e-05
OP0001,Perc,-3.353056674308843e-06,1.3586486025232494e-05,0.0859375,0.1953125,1.6939542699541337e-05
OP0001,Perc,-1.8267250228031946e-05,1.521699836763546e-05,0.0859375,0.2109375,3.348424859566741e-05
OP0001,Perc,3.5631785040162478e-06,4.8514607397335755e-06,0.09375,0.1875,1.2882822357173277e-06
OP0001,Perc,-6.3187352700992295e-06,5.1697955293625515e-06,0.1171875,0.234375,1.148853079946178e-05
OP0001,Perc,1.956210706858425e-06,9.0561175931272e-06,0.0859375,0.203125,7.099906886268776e-06
OP0001,Perc,-8.61911220879795e-06,8.205137522236698e-06,0.1015625,0.2265625,1.6824249731034646e-05
OP0001,Perc,-1.9180596571166745e-06,5.092386224095706e-06,0.140625,0.171875,7.0104458812123805e-06
OP0001,Perc,-1.650780969003259e-06,1.1152842570041514e-05,0.1328125,0.2421875,1.2803623539044773e-05
OP0001,Perc,3.522944530843913e-07,1.2384623117015316e-06,0.1484375,0.1875,8.861678586171403e-07
OP0001,Perc,-4.04309704085871e-06,1.2532786396488999e-05,0.1328125,0.1640625,1.6575883437347707e-05
OP0001,Perc,-4.1238786902453135e-06,4.6238870525898415e-06,0.140625,0.1640625,8.747765742835154e-06
OP0001,Perc,-4.94983827781445e-06,1.4165369415950764e-05,0.109375,0.15625,1.9115207693765214e-05
OP0001,Perc,-1.9308688644369785e-06,4.0017366855183225e-06,0.1015625,0.2265625,5.932605549955301e-06
OP0001,Perc,-5.730536623071675e-06,9.318663747202948e-06,0.1171875,0.1796875,1.5049200370274623e-05
OP0001,Perc,-1.39092867123719e-05,2.1318334683536325e-05,0.1171875,0.234375,3.5227621395908226e-05
OP0001,Perc,1.8136903725406922e-06,9.352290413471974e-06,0.1484375,0.1796875,7.538600040931282e-06
OP0001,Perc,-8.88377957218199e-06,7.604710785546025e-06,0.1015625,0.234375,1.6488490357728017e-05
OP0001,Perc,-8.729818531114542e-06,-3.5502375713106196e-06,0.1328125,0.15625,5.179580959803923e-06
OP0001,Perc,-1.0610290773143058e-05,2.8798486991491617e-06,0.1484375,0.21875,1.349013947229222e-05
OP0001,Perc,2.739481294542144e-06,7.311811527342036e-06,0.0859375,0.21875,4.572330232799892e-06
OP0001,Perc,-1.7320305963846903e-05,-3.765816516143442e-06,0.1171875,0.2109375,1.355448944770346e-05
OP0001,Perc,-2.8416582457527483e-06,1.6112472382735048e-05,0.109375,0.1875,1.8954130628487795e-05
OP0001,Perc,-1.4454284591464121e-05,-5.558839594393516e-07,0.1328125,0.1640625,1.389840063202477e-05
OP0001,Perc,-5.939719912619335e-06,1.070656602279071e-05,0.1015625,0.234375,1.6646285935410043e-05
OP0001,Perc,-2.449795855287312e-06,5.992649914575613e-06,0.0859375,0.234375,8.442445769862925e-06
OP0001,Perc,-8.334491186064382e-06,1.0426677876896244e-05,0.140625,0.2421875,1.8761169062960624e-05
OP0001,Perc,-7.733011962700849e-07,1.8454167905784442e-06,0.109375,0.1875,2.618717986848529e-06
OP0001,Perc,-3.3495767685601913e-06,9.087593187974922e-06,0.1015625,0.1796875,1.2437169956535114e-05
OP0001,Perc,-4.623895449319302e-06,-3.890645159205065e-06,0.1015625,0.2265625,7.332502901142378e-07
OP0001,Perc,-3.733621461815611e-06,2.903545655492454e-06,0.1484375,0.234375,6.637167117308065e-06
OP0001,Perc,2.293972366720895e-06,9.642840445795205e-06,0.109375,0.2421875,7.34886807907431e-06
OP0001,Perc,-1.3573663823519845e-05,5.5243206048624375e-06,0.125,0.2421875,1.9097984428382284e-05
OP0001,Perc,-4.068366238038365e-06,4.748652415308168e-06,0.140625,0.1875,8.817018653346534e-06
OP0001,Perc,2.0298788771437565e-06,1.8088489784360252e-05,0.1328125,0.203125,1.6058610907216495e-05
OP0001,Perc,-2.2422714593447433e-06,4.268841192282024e-06,0.140625,0.2421875,6.511112651626767e-06
OP0001,Perc,-1.310731434330294e-06,5.393829988687824e-06,0.0859375,0.1875,6.704561423018118e-06
OP0001,Perc,-3.345268628921474e-06,7.635605445486764e-06,0.0859375,0.171875,1.0980874074408238e-05
OP0001,Perc,2.9595194815251435e-06,7.264416318460141e-06,0.109375,0.2421875,4.304896836934997e-06
OP0001,Perc,-2.3909742127610757e-06,4.999514778351889e-06,0.125,0.15625,7.390488991112965e-06
OP0001,Perc,-2.2243215701922412e-05,1.01307185082656e-05,0.125,0.1796875,3.237393421018801e-05
OP0001,Perc,-1.5919423414347523e-05,9.109401000395016e-06,0.1171875,0.15625,2.502882441474254e-05
OP0001,Perc,-5.55927279472724e-06,3.3297639703809906e-06,0.1484375,0.234375,8.88903676510823e-06
OP0001,Perc,-8.023377945397424e-06,2.4247702297140996e-06,0.09375,0.2109375,1.0448148175111523e-05
OP0001,Perc,-2.5602071501404283e-06,1.9474095361347694e-05,0.0859375,0.2109375,2.2034302511488122e-05
OP0001,Perc,-1.7266339073863226e-05,6.2301178922001835e-06,0.1484375,0.1953125,2.3496456966063408e-05
OP0001,Perc,-3.583060856712581e-06,7.985185625508402e-06,0.0859375,0.21875,1.1568246482220983e-05
OP0001,Perc,-1.9055395791170313e-06,7.2580095085603944e-06,0.0859375,0.2109375,9.163549087677426e-06
OP0001,Perc,-3.897821828321163e-06,2.9769566708888118e-06,0.125,0.1796875,6.874778499209974e-06
OP0001,Perc,-4.054795038588268e-07,1.0183006322651824e-05,0.0859375,0.203125,1.0588485826510651e-05
OP0001,Perc,-1.307510929640305e-05,1.1077724181786707e-05,0.0859375,0.203125,2.4152833478189757e-05
OP0001,Perc,1.599107164039293e-08,1.2594083930896133e-05,0.109375,0.15625,1.257809285925574e-05
OP0001,Perc,1.2097878258462347e-06,1.3776812456532916e-05,0.0859375,0.15625,1.2567024630686681e-05
OP0001,Perc,6.753203867870256e-06,1.1637144649423774e-05,0.125,0.2265625,4.883940781553518e-06
OP0001,Perc,-6.456166231988447e-06,1.5115575667617667e-06,0.140625,0.1875,7.967723798750214e-06
OP0001,Perc,1.0918020237232977e-05,1.5593764744321774e-05,0.125,0.15625,4.675744507088797e-06
OP0001,Perc,-1.4989074946075014e-06,9.004952963633319e-06,0.1171875,0.1953125,1.050386045824082e-05
OP0001,Perc,-1.146354129624555e-05,8.43529920925205e-06,0.09375,0.203125,1.98988405054976e-05
OP0001,Perc,-1.4650851423782291e-05,1.273717010661414e-05,0.140625,0.1796875,2.7388021530396433e-05
OP0001,Perc,-9.88240736385124e-06,-5.6975017365003225e-06,0.1484375,0.171875,4.184905627350918e-06
OP0001,Perc,-3.139234424901786e-06,1.361965823330029e-05,0.1328125,0.171875,1.6758892658202074e-05
OP0001,Perc,-1.3320113172913284e-05,1.6573306217490636e-05,0.125,0.171875,2.9893419390403922e-05
OP0001,Perc,-1.1379434621199375e-05,7.046857772862948e-06,0.140625,0.1875,1.8426292394062324e-05
OP0001,Perc,-3.5836079257857875e-06,1.0740379847685072e-06,0.0859375,0.203125,4.657645910554295e-06
OP0001,Perc,-7.1371101631823225e-06,2.987434047696194e-06,0.1171875,0.234375,1.0124544210878517e-05
OP0001,Perc,-9.688824471586456e-06,1.0798053709283817e-05,0.1171875,0.2421875,2.0486878180870274e-05
OP0001,Perc,-5.3046730206885516e-06,1.248713295363818e-06,0.1171875,0.2421875,6.553386316052369e-06
OP0001,Perc,-4.9426219385240225e-06,6.458880075655807e-06,0.1015625,0.21875,1.140150201417983e-05
OP0001,Perc,-8.419317565810083e-06,9.04791942324954e-06,0.125,0.2265625,1.7467236989059623e-05
OP0001,Perc,-7.14292111425779e-06,1.6686545539250277e-06,0.1484375,0.2109375,8.811575668182818e-06
OP0001,Perc,-2.2150004398537795e-05,5.293018607613565e-07,0.109375,0.2265625,2.267930625929915e-05
OP0001,Perc,-2.3575491251691012e-07,5.451429689917758e-06,0.1484375,0.1796875,5.687184602434668e-06
OP0001,Perc,-2.5337242366332487e-05,1.099206100666215e-05,0.140625,0.1875,3.632930337299464e-05
OP0001,Perc,-9.166020683960163e-06,7.4592297734118655e-06,0.109375,0.234375,1.662525045737203e-05
OP0001,Perc,-3.8179835430099575e-06,2.156419965083018e-06,0.125,0.1796875,5.974403508092976e-06
OP0001,Perc,-7.728906553137493e-06,7.938422252081263e-06,0.1484375,0.2109375,1.5667328805218754e-05
OP0001,Perc,-1.5749643465105847e-06,7.543476374276521e-06,0.140625,0.203125,9.118440720787105e-06
OP0001,Perc,-1.0315878510325542e-05,1.3172153654630508e-05,0.0859375,0.2109375,2.348803216495605e-05
OP0001,Perc,-3.2731314097442224e-05,2.9485118359010994e-05,0.1484375,0.1875,6.221643245645322e-05
OP0001,Perc,-1.0856855862040454e-06,2.045833407995311e-05,0.125,0.2421875,2.1544019666157157e-05
OP0001,Perc,-6.565800363291104e-06,-8.441597235404728e-07,0.1015625,0.21875,5.7216406397506306e-06
OP0001,Perc,-3.7422166400804196e-06,1.0206478678635653e-05,0.1484375,0.1953125,1.3948695318716072e-05
OP0001,Perc,-1.4322381656900629e-05,-9.449475446830259e-07,0.09375,0.234375,1.3377434112217603e-05
OP0001,Perc,-6.496539010691583e-06,3.890468086489726e-06,0.09375,0.171875,1.038700709718131e-05
OP0001,Perc,-1.5853959893777933e-05,1.1441959094139456e-05,0.09375,0.234375,2.729591898791739e-05
OP0001,Perc,-8.973286252810315e-06,1.5895669373670776e-05,0.125,0.2109375,2.486895562648109e-05
OP0001,Perc,-8.152216051165879e-06,1.0433377026355074e-05,0.109375,0.1875,1.858559307752095e-05
OP0001,Perc,-3.592893813623037e-08,5.589316779385952e-06,0.0859375,0.15625,5.625245717522183e-06
OP0001,Perc,-7.176381711509316e-06,1.4541955968213406e-06,0.1484375,0.2421875,8.630577308330656e-06
OP0001,Perc,-8.39540110609021e-06,1.6867593903147377e-05,0.09375,0.234375,2.5262995009237587e-05
OP0001,Perc,-2.4889693674736902e-06,1.4879737196507002e-05,0.0859375,0.203125,1.736870656398069e-05
OP0001,Perc,-1.1777169547416592e-05,4.589305008258406e-06,0.109375,0.2421875,1.6366474555674998e-05
OP0001,Perc,-6.9526701229858474e-06,7.179402590024123e-06,0.0859375,0.21875,1.413207271300997e-05
OP0001,Perc,-6.72786409202901e-06,4.634554358815505e-06,0.1171875,0.171875,1.1362418450844515e-05
OP0001,Perc,-2.469376150481834e-05,6.173380299435951e-06,0.1484375,0.203125,3.086714180425429e-05
OP0001,Perc,1.6714944118215137e-06,4.542275379523653e-06,0.1015625,0.171875,2.8707809677021393e-06
OP0001,Perc,-8.534691295922653e-06,1.0852852866507322e-05,0.125,0.2421875,1.9387544162429976e-05
OP0001,Perc,5.434152922850285e-06,8.675313508143126e-06,0.1015625,0.2265625,3.2411605852928405e-06
OP0001,Perc,-2.7688426641597295e-06,3.798712836310502e-06,0.0859375,0.234375,6.5675555004702316e-06
OP0001,Perc,-3.36371274584459e-07,5.45002635171162e-06,0.1171875,0.1640625,5.786397626296079e-06
OP0001,Perc,-2.060595964053276e-06,1.1023310868857728e-05,0.09375,0.15625,1.3083906832911004e-05
OP0001,Perc,-7.174626808790089e-06,1.4907742397756919e-05,0.09375,0.234375,2.2082369206547008e-05
OP0001,Perc,-1.1171524656201515e-05,1.895919894775732e-05,0.1328125,0.203125,3.0130723603958834e-05
OP0001,Perc,-1.0428637970000305e-05,1.7241383110673675e-05,0.0859375,0.2421875,2.767002108067398e-05
OP0001,Perc,-1.3479932443163756e-05,3.025200489393498e-06,0.1484375,0.1875,1.6505132932557254e-05
OP0001,Perc,1.2971728956457585e-06,6.369241718763026e-06,0.1484375,0.21875,5.072068823117268e-06
OP0001,Perc,-1.7117784677318614e-06,1.459033789733424e-05,0.0859375,0.234375,1.6302116365066103e-05
OP0001,Perc,-1.8482258612222547e-06,2.2309490261717148e-05,0.0859375,0.2109375,2.4157716122939403e-05
OP0001,Perc,-8.760093274426529e-06,7.390480685791862e-06,0.0859375,0.1953125,1.615057396021839e-05
OP0001,Perc,-9.715895939597329e-06,2.219896236495992e-05,0.09375,0.21875,3.191485830455725e-05
OP0001,Perc,-1.6916126780249382e-07,1.3684350553214144e-06,0.125,0.15625,1.5375963231239082e-06
OP0001,Perc,-2.973543004284005e-06,1.5418196010374019e-06,0.1484375,0.1875,4.515362605321407e-06
OP0001,Perc,-9.924144885892795e-06,1.6296178797537168e-05,0.0859375,0.2109375,2.6220323683429963e-05
OP0001,Perc,4.306566280999542e-06,1.3128497689352275e-05,0.1328125,0.21875,8.821931408352733e-06
OP0001,Perc,-5.4794290976649145e-06,9.346909756669758e-06,0.140625,0.1953125,1.4826338854334672e-05
OP0001,Perc,4.828531621736337e-06,7.025115203168871e-06,0.1484375,0.1796875,2.1965835814325347e-06
OP0001,Perc,-7.345352627177636e-06,5.7558147540118694e-06,0.125,0.21875,1.3101167381189504e-05
OP0001,Perc,8.883336957477844e-07,1.3254682357308427e-05,0.1171875,0.203125,1.2366348661560643e-05
OP0001,Perc,-3.922865465550089e-06,1.1118185698358006e-05,0.1484375,0.203125,1.5041051163908095e-05
OP0001,Perc,1.7759658929670967e-06,1.3470796184037341e-05,0.0859375,0.2265625,1.1694830291070244e-05
OP0001,Perc,-1.558176358691609e-06,2.2645199618980434e-06,0.0859375,0.2265625,3.822696320589652e-06
OP0001,Perc,-1.180145473881554e-06,9.875042502813532e-06,0.109375,0.2421875,1.1055187976695087e-05
OP0001,Perc,-1.3375250970892634e-05,1.2524118099417396e-05,0.1484375,0.1875,2.589936907031003e-05
OP0001,Perc,-3.408048522608867e-05,2.595690365363055e-05,0.140625,0.1875,6.003738887971922e-05
OP0001,Perc,-6.297885330407959e-06,5.447598109600248e-06,0.1328125,0.171875,1.1745483440008207e-05
OP0001,Perc,-1.549771520746551e-05,1.231289075510761e-05,0.1015625,0.21875,2.781060596257312e-05
OP0001,Perc,-7.113422861028876e-06,8.43952166070567e-06,0.1015625,0.2265625,1.5552944521734547e-05
OP0001,Perc,-7.3399193307968965e-06,1.5585865632954005e-06,0.125,0.15625,8.898505894092297e-06
OP0001,Perc,-1.614614514712522e-05,3.2850184818870903e-06,0.1484375,0.2109375,1.9431163629012308e-05
OP0001,Perc,-4.033105039553637e-06,1.058400795329658e-05,0.109375,0.2421875,1.4617112992850217e-05
OP0001,Perc,-9.382769688649622e-07,2.397397677613955e-05,0.125,0.2265625,2.4912253745004512e-05
OP0001,Perc,-6.135314260558298e-06,8.165990942771017e-06,0.1484375,0.1875,1.4301305203329316e-05
OP0001,Perc,-1.8808326000708922e-06,1.9316315598293385e-06,0.1484375,0.1875,3.8124641599002305e-06
OP0001,Perc,-2.655555654612285e-06,3.972639540131915e-07,0.1484375,0.2109375,3.0528196086254764e-06
OP0001,Perc,-3.494614415222114e-06,7.391130595598875e-06,0.1328125,0.171875,1.0885745010820988e-05
OP0001,Perc,-9.022216065607416e-07,1.2620000742330394e-05,0.140625,0.203125,1.3522222348891135e-05
OP0001,Perc,5.1471382906230466e-08,5.768304417485727e-06,0.0859375,0.15625,5.716833034579497e-06
OP0001,Perc,-1.3497289143201086e-06,6.04521720669716e-06,0.1484375,0.234375,7.3949461210172685e-06
OP0001,Perc,-6.992119299633673e-06,2.0184454647608337e-05,0.125,0.171875,2.717657394724201e-05
OP0001,Perc,-5.192903735696823e-06,7.895434153959028e-06,0.1015625,0.2265625,1.3088337889655851e-05
OP0001,Perc,-6.2485574886028864e-06,1.2675554518845397e-05,0.1171875,0.1875,1.8924112007448283e-05
OP0001,Perc,-8.483743723684398e-06,4.170107120642623e-06,0.1328125,0.2109375,1.2653850844327022e-05
OP0001,Perc,-6.029217380204346e-06,4.375700305690304e-06,0.1328125,0.171875,1.0404917685894649e-05
OP0001,Perc,-6.8982284833354364e-06,7.913217189072306e-06,0.0859375,0.2421875,1.4811445672407742e-05
OP0001,Perc,-1.1841023352730773e-07,5.66066682599957e-06,0.0859375,0.1875,5.7790770595268775e-06
OP0001,Perc,-1.2202743187056811e-05,-3.928287010540752e-06,0.125,0.1796875,8.274456176516059e-06
OP0001,Perc,-1.4941656532929047e-07,1.813616180385812e-05,0.1484375,0.1953125,1.828557836918741e-05
OP0001,Perc,-2.336731858064738e-05,2.4402196921940517e-05,0.125,0.234375,4.776951550258789e-05
OP0001,Perc,-9.776526880373206e-06,9.760256419200295e-06,0.125,0.1875,1.9536783299573503e-05
OP0001,Perc,-1.0532092391308197e-05,7.932834720408866e-06,0.0859375,0.234375,1.8464927111717063e-05
OP0001,Perc,-1.3072309939995115e-05,-3.7665813780611855e-06,0.1484375,0.1796875,9.305728561933929e-06
OP0001,Perc,-8.098264420103432e-06,7.158928047190295e-06,0.125,0.1953125,1.5257192467293727e-05
OP0001,Perc,-4.804674076406209e-06,1.6805503528822144e-06,0.1484375,0.1875,6.485224429288424e-06
OP0001,Perc,-1.1099312117358692e-05,1.3371234622304876e-05,0.140625,0.1875,2.4470546739663567e-05
OP0001,Perc,-3.7727141993126062e-06,4.826979660437151e-06,0.0859375,0.1953125,8.599693859749757e-06
OP0001,Perc,-2.5520656834770652e-05,2.7654688529954578e-05,0.1328125,0.1796875,5.317534536472523e-05
OP0001,Perc,-6.447681225475633e-06,8.3466266547209e-06,0.1015625,0.234375,1.4794307880196533e-05
OP0001,Perc,-1.618682659041337e-05,1.3985259021532195e-05,0.109375,0.171875,3.0172085611945564e-05
OP0001,Perc,-6.74753324165743e-06,1.912152759553728e-06,0.109375,0.1640625,8.659686001211158e-06
OP0001,Perc,-7.172971843252574e-06,6.573757893784169e-06,0.1484375,0.1953125,1.3746729737036742e-05
OP0001,Perc,-2.71858589094909e-07,1.3627945175804014e-05,0.0859375,0.2421875,1.3899803764898924e-05
OP0001,Perc,-2.51142034308812e-05,1.8517091733566563e-05,0.109375,0.2265625,4.3631295164447764e-05
OP0001,Perc,-9.429931666792167e-06,4.32414584170381e-06,0.1328125,0.2421875,1.3754077508495977e-05
OP0001,Perc,-1.3138592908327875e-05,4.037194758219673e-06,0.125,0.15625,1.7175787666547547e-05
