Subject,Cond,N100_amp,P200_amp,N100_latency,P200_latency,peak_to_peak
OP0001,Echo,-1.650780969003259e-06,1.1152842570041514e-05,0.1328125,0.2421875,1.2803623539044773e-05
OP0001,Echo,3.522944530843913e-07,1.2384623117015316e-06,0.1484375,0.1875,8.861678586171403e-07
OP0001,Echo,-4.04309704085871e-06,1.2532786396488999e-05,0.1328125,0.1640625,1.6575883437347707e-05
OP0001,Echo,-4.1238786902453135e-06,4.6238870525898415e-06,0.140625,0.1640625,8.747765742835154e-06
OP0001,Echo,-4.94983827781445e-06,1.4165369415950764e-05,0.109375,0.15625,1.9115207693765214e-05
OP0001,Echo,-5.730536623071675e-06,9.318663747202948e-06,0.1171875,0.1796875,1.5049200370274623e-05
OP0001,Echo,1.8136903725406922e-06,9.352290413471974e-06,0.1484375,0.1796875,7.538600040931282e-06
OP0001,Echo,-8.88377957218199e-06,7.604710785546025e-06,0.1015625,0.234375,1.6488490357728017e-05
OP0001,Echo,-3.922865465550089e-06,1.1118185698358006e-05,0.1484375,0.203125,1.5041051163908095e-05
OP0001,Echo,1.7759658929670967e-06,1.3470796184037341e-05,0.0859375,0.2265625,1.1694830291070244e-05
OP0001,Echo,-1.558176358691609e-06,2.2645199618980434e-06,0.0859375,0.2265625,3.822696320589652e-06
OP0001,Echo,-1.180145473881554e-06,9.875042502813532e-06,0.109375,0.2421875,1.1055187976695087e-05
OP0001,Echo,-1.3375250970892634e-05,1.2524118099417396e-05,0.1484375,0.1875,2.589936907031003e-05
OP0001,Echo,-3.408048522608867e-05,2.595690365363055e-05,0.140625,0.1875,6.003738887971922e-05
OP0001,Echo,-6.297885330407959e-06,5.447598109600248e-06,0.1328125,0.171875,1.1745483440008207e-05
OP0001,Echo,-1.549771520746551e-05,1.231289075510761e-05,0.1015625,0.21875,2.781060596257312e-05
OP0001,Echo,-7.113422861028876e-06,8.43952166070567e-06,0.1015625,0.2265625,1.5552944521734547e-05
OP0001,Echo,-7.3399193307968965e-06,1.5585865632954005e-06,0.125,0.15625,8.898505894092297e-06
OP0001,Echo,-1.614614514712522e-05,3.2850184818870903e-06,0.1484375,0.2109375,1.9431163629012308e-05
OP0001,Echo,-4.033105039553637e-06,1.058400795329658e-05,0.109375,0.2421875,1.4617112992850217e-05
OP0001,Echo,-9.382769688649622e-07,2.397397677613955e-05,0.125,0.2265625,2.4912253745004512e-05
OP0001,Echo,-6.135314260558298e-06,8.165990942771017e-06,0.1484375,0.1875,1.4301305203329316e-05
OP0001,Echo,-1.8808326000708922e-06,1.9316315598293385e-06,0.1484375,0.1875,3.8124641599002305e-06
OP0001,Echo,-2.655555654612285e-06,3.972639540131915e-07,0.1484375,0.2109375,3.0528196086254764e-06
OP0001,Echo,-3.494614415222114e-06,7.391130595598875e-06,0.1328125,0.171875,1.0885745010820988e-05
OP0001,Echo,-9.022216065607416e-07,1.2620000742330394e-05,0.140625,0.203125,1.3522222348891135e-05
OP0001,Echo,5.1471382906230466e-08,5.768304417485727e-06,0.0859375,0.15625,5.716833034579497e-06
OP0001,Echo,-1.3497289143201086e-06,6.04521720669716e-06,0.1484375,0.234375,7.3949461210172685e-06
OP0001,Echo,-6.992119299633673e-06,2.0184454647608337e-05,0.125,0.171875,2.717657394724201e-05
OP0001,Echo,-5.192903735696823e-06,7.895434153959028e-06,0.1015625,0.2265625,1.3088337889655851e-05
OP0001,Echo,-6.2485574886028864e-06,1.2675554518845397e-05,0.1171875,0.1875,1.8924112007448283e-05
OP0001,Echo,-8.483743723684398e-06,4.170107120642623e-06,0.1328125,0.2109375,1.2653850844327022e-05
OP0001,Echo,-6.029217380204346e-06,4.375700305690304e-06,0.1328125,0.171875,1.0404917685894649e-05
OP0001,Echo,-6.8982284833354364e-06,7.913217189072306e-06,0.0859375,0.2421875,1.4811445672407742e-05
OP0001,Echo,-1.1841023352730773e-07,5.66066682599957e-06,0.0859375,0.1875,5.7790770595268775e-06
OP0001,Echo,-1.2202743187056811e-05,-3.928287010540752e-06,0.125,0.1796875,8.274456176516059e-06
OP0001,Echo,-1.4941656532929047e-07,1.813616180385812e-05,0.1484375,0.1953125,1.828557836918741e-05
OP0001,Echo,-2.336731858064738e-05,2.4402196921940517e-05,0.125,0.234375,4.776951550258789e-05
OP0001,Echo,-9.776526880373206e-06,9.760256419200295e-06,0.125,0.1875,1.9536783299573503e-05
OP0001,Echo,-1.0532092391308197e-05,7.932834720408866e-06,0.0859375,0.234375,1.8464927111717063e-05
OP0001,Echo,-1.3072309939995115e-05,-3.7665813780611855e-06,0.1484375,0.1796875,9.305728561933929e-06
OP0001,Echo,-8.098264420103432e-06,7.158928047190295e-06,0.125,0.1953125,1.5257192467293727e-05
OP0001,Echo,-4.804674076406209e-06,1.6805503528822144e-06,0.1484375,0.1875,6.485224429288424e-06
OP0001,Echo,-1.1099312117358692e-05,1.3371234622304876e-05,0.140625,0.1875,2.4470546739663567e-05
OP0001,Echo,-3.7727141993126062e-06,4.826979660437151e-06,0.0859375,0.1953125,8.599693859749757e-06
OP0001,Echo,-2.5520656834770652e-05,2.7654688529954578e-05,0.1328125,0.1796875,5.317534536472523e-05
OP0001,Echo,-6.447681225475633e-06,8.3466266547209e-06,0.1015625,0.234375,1.4794307880196533e-05
OP0001,Echo,-1.618682659041337e-05,1.3985259021532195e-05,0.109375,0.171875,3.0172085611945564e-05
OP0001,Echo,-6.74753324165743e-06,1.912152759553728e-06,0.109375,0.1640625,8.659686001211158e-06
OP0001,Echo,-7.172971843252574e-06,6.573757893784169e-06,0.1484375,0.1953125,1.3746729737036742e-05
OP0001,Echo,-2.71858589094909e-07,1.3627945175804014e-05,0.0859375,0.2421875,1.3899803764898924e-05
OP0001,Echo,-2.51142034308812e-05,1.8517091733566563e-05,0.109375,0.2265625,4.3631295164447764e-05
OP0001,Echo,-9.429931666792167e-06,4.32414584170381e-06,0.1328125,0.2421875,1.3754077508495977e-05
OP0001,Echo,-1.3138592908327875e-05,4.037194758219673e-06,0.125,0.15625,1.7175787666547547e-05
OP0001,Echo,-1.0888822050624706e-05,6.094636916540655e-06,0.1328125,0.2421875,1.6983458967165363e-05
OP0001,Echo,-1.0763387686138333e-05,9.87596702133679e-06,0.1328125,0.1796875,2.0639354707475123e-05
OP0001,Echo,-6.415467087102179e-06,-2.5841078135598962e-06,0.1015625,0.1796875,3.831359273542283e-06
OP0001,Echo,-2.2412191244149527e-06,2.2411241275611336e-05,0.09375,0.2109375,2.465246040002629e-05
OP0001,Echo,-1.3098752889404277e-05,1.2753897095521922e-05,0.140625,0.1875,2.58526499849262e-05
OP0001,Echo,-5.164033241514471e-06,3.549447002785317e-06,0.1171875,0.2265625,8.713480244299788e-06
OP0001,Echo,-6.703479281234139e-06,3.0984634196064117e-06,0.0859375,0.21875,9.801942700840551e-06
OP0001,Echo,-2.6991531056366824e-06,4.35655318403601e-06,0.0859375,0.2109375,7.055706289672693e-06
OP0001,Echo,3.143324722859528e-06,1.085972473713832e-05,0.1328125,0.1640625,7.716400014278791e-06
OP0001,Echo,-4.880519020043846e-06,1.259081454380776e-05,0.1171875,0.1875,1.7471333563851605e-05
OP0001,Echo,-3.446297267540972e-06,-3.2775844952997763e-06,0.0859375,0.1875,1.6871277224119552e-07
