r,model,subject,channel
0.1606209705878574,model2,OP0003,TP7
0.16038428497612633,model1,OP0003,CP3
0.15404496780795926,model2,OP0003,CP3
0.15857933220963275,model1,OP0003,P1
0.16105520791274147,model2,OP0003,P1
0.15190975597416356,model1,OP0003,P5
0.15787658082703926,model2,OP0003,P5
0.18542992330305774,model1,OP0003,PO7
0.19130472736993498,model2,OP0003,PO7
0.1339673940129017,model1,OP0003,PO3
0.139776546578182,model2,OP0003,PO3
0.10713857301576146,model1,OP0003,POz
0.11011404767636601,model2,OP0003,POz
0.10923888427559855,model1,OP0003,PO4
0.11487462535707456,model2,OP0003,PO4
0.15566611924325222,model1,OP0003,PO8
0.15873773904080596,model2,OP0003,PO8
0.15722423267097585,model1,OP0003,P6
0.1628864106137866,model2,OP0003,P6
0.12172224754352595,model1,OP0003,P2
0.12373061631757253,model2,OP0003,P2
0.14293406079123525,model1,OP0003,CPz
0.13884814947353208,model2,OP0003,CPz
0.12951374019682557,model1,OP0003,CP4
0.1191177398984849,model2,OP0003,CP4
0.1295903387846201,model1,OP0003,TP8
0.12199265271953265,model2,OP0003,TP8
0.2045550947897928,model1,OP0003,C6
0.19709363454736767,model2,OP0003,C6
0.1485748901517979,model1,OP0003,C2
0.1412920909192739,model2,OP0003,C2
0.20299964354640618,model1,OP0003,FC4
0.19593627506790917,model2,OP0003,FC4
0.3292868564456422,model1,OP0003,FT8
0.3277304899217708,model2,OP0003,FT8
0.2390673858501228,model1,OP0003,F6
0.23439734095874848,model2,OP0003,F6
0.1638650083244429,model1,OP0003,F2
0.15651926506408395,model2,OP0003,F2
0.3034354651888642,model1,OP0003,AF4
0.3004566097448487,model2,OP0003,AF4
0.3288603157145684,model1,OP0003,AF8
0.327141139947924,model2,OP0003,AF8
0.04343398161696104,model1,OP0004,Fp1
0.04796461471098872,model2,OP0004,Fp1
0.04246239202105071,model1,OP0004,Fz
0.05331730557156931,model2,OP0004,Fz
0.03971211688208298,model1,OP0004,F3
0.06140874092104832,model2,OP0004,F3
0.04394228906446245,model1,OP0004,F7
0.05481672962911661,model2,OP0004,F7
0.05962112008114814,model1,OP0004,FT9
0.05508926795022927,model2,OP0004,FT9
0.03883089534012396,model1,OP0004,FC5
0.05838832792364761,model2,OP0004,FC5
0.04069365656093383,model1,OP0004,FC1
0.06011459614462228,model2,OP0004,FC1
0.056996520059243445,model1,OP0004,C3
0.1055796595080368,model2,OP0004,C3
0.028610677190843325,model1,OP0004,T7
0.03680368918124111,model2,OP0004,T7
0.0018127532553166826,model1,OP0004,TP9
-0.005965849371201287,model2,OP0004,TP9
0.017794348559451306,model1,OP0004,CP5
0.02552016317698462,model2,OP0004,CP5
0.025949052026792267,model1,OP0004,CP1
0.043581204965426994,model2,OP0004,CP1
0.03564710694099854,model1,OP0004,Pz
0.047412764153167815,model2,OP0004,Pz
0.040830966924190686,model1,OP0004,P3
0.034798606322857265,model2,OP0004,P3
0.03285208978600106,model1,OP0004,P7
0.025802763567899907,model2,OP0004,P7
0.05282590724125424,model1,OP0004,O1
0.042723404459670544,model2,OP0004,O1
0.0629804730528335,model1,OP0004,Oz
0.05280851307885563,model2,OP0004,Oz
0.06359072283021196,model1,OP0004,O2
0.051487293646500544,model2,OP0004,O2
0.0474275105075141,model1,OP0004,P4
0.05221851832023788,model2,OP0004,P4
0.037312281444613675,model1,OP0004,P8
