subject,model,channel,r_value,p_value,best_alpha
OP0003,model1e,C5,0.040080155091022265,0.0,545.5594781168513
OP0003,model1e,TP7,0.05741392568937791,0.0,545.5594781168513
OP0003,model1e,CP3,0.025692181360824417,0.0,545.5594781168513
OP0003,model1e,P1,0.03577455806201628,0.0,545.5594781168513
OP0003,model1e,P5,0.04999037189461642,0.0,545.5594781168513
OP0003,model1e,PO7,0.06914509659078541,0.0,545.5594781168513
OP0003,model1e,PO3,0.03528275616590955,0.0,545.5594781168513
OP0003,model1e,POz,0.011418145590943986,0.06000000000000005,545.5594781168513
OP0003,model1e,PO4,0.02591057362489589,0.0,545.5594781168513
OP0003,model1e,PO8,0.056625420847665774,0.0,545.5594781168513
OP0003,model1e,P6,0.05589505923409067,0.0,545.5594781168513
OP0003,model1e,P2,0.007667945088640243,0.11,545.5594781168513
OP0003,model1e,CPz,0.024726331339150164,0.0,545.5594781168513
OP0003,model1e,CP4,0.014831746074031963,0.0,545.5594781168513
OP0003,model1e,TP8,0.04129746150200681,0.0,545.5594781168513
OP0003,model1e,C6,0.02080760125060229,0.0,545.5594781168513
OP0003,model1e,C2,0.020228776006662702,0.0,545.5594781168513
OP0003,model1e,FC4,0.010317154858803105,0.09999999999999998,545.5594781168513
OP0003,model1e,FT8,0.04810243353855698,0.0,545.5594781168513
OP0003,model1e,F6,0.023099621536304644,0.0,545.5594781168513
OP0003,model1e,F2,0.02292608407282836,0.0,545.5594781168513
OP0003,model1e,AF4,0.029154463997347183,0.0,545.5594781168513
OP0003,model1e,AF8,0.04560402421914729,0.0,545.5594781168513
OP0003,model2,Fp1,0.4307591155798548,0.0,1438.4498882876599
OP0003,model2,Fz,0.17875698773034485,0.0,1438.4498882876599
OP0003,model2,F3,0.22371912048398326,0.0,1438.4498882876599
OP0003,model2,F7,0.2281943788147643,0.0,1438.4498882876599
OP0003,model2,FT9,0.4731708258057164,0.0,1438.4498882876599
OP0003,model2,FC1,0.1882497531443908,0.0,1438.4498882876599
OP0003,model2,C3,0.1353191174230018,0.0,1438.4498882876599
OP0003,model2,T7,0.13195122013219365,0.0,1438.4498882876599
OP0003,model2,TP9,0.07438130929158017,0.0,1438.4498882876599
OP0003,model2,CP5,0.1113646048185596,0.0,1438.4498882876599
OP0003,model2,CP1,0.09910669684156573,0.0,1438.4498882876599
OP0003,model2,Pz,0.09335790787418484,0.0,1438.4498882876599
OP0003,model2,P3,0.09156215413027106,0.0,1438.4498882876599
OP0003,model2,P7,0.17632820608361646,0.0,1438.4498882876599
OP0003,model2,O1,0.12654915301595407,0.0,1438.4498882876599
